word,bias_C1,bias_C2,bias_C3,bias_C4,bias_C5,bias_C6,bias_C7,bias_C8,bias_C9,bias_C10,bias_C11,bias_C12,bias_C13,bias_C14,bias_C15
genders,-3.9873126166666664,-3.6353665133333335,3.221163308333333,-10.0957332,-2.5357564166666666,3.4416580533333336,-3.1816079166666666,1.4821379666666668,-5.305417216666667,2.3558143666666664,-1.4440986383333332,3.5993807416666668,1.4929204066666666,0.951501764,0.62354859
taverns,-1.2926829325,3.36831645,2.09537685125,-0.42963409625,0.52477686,-5.6070627875,0.7244842387499999,0.72207271875,-0.6966189925,-0.11187285149999998,-1.7819776375,-1.21454190375,-0.815043505,-1.54059193375,-0.026232641249999994
spiders,0.7890537471428571,0.023772928571428598,3.6617939257142855,2.3733269814285713,0.5889109285714285,6.864809277142857,5.931320311428571,-0.17644020571428576,1.5637911557142858,7.198208525714286,-2.6516524285714285,4.6123873571428575,-0.007941245714285727,2.4655353328571428,-0.9002710485714286
secularism,2.2464420304545456,-7.309848656363636,3.6953444948181815,-5.078759775454546,-8.210809595454545,4.598759272727272,2.498960459454546,-0.5095300484272727,4.767185803090909,-3.8679847699999996,0.2363600040909091,2.4480371163636363,-3.694757111090909,-0.7809228154545457,1.8712492927272726
medals,0.11008419822377613,-2.4192631343216786,-1.4332571059475525,0.5116517104895105,4.836570581398602,-6.020164821118881,-1.432279932688811,2.398828015734266,0.8782781048951049,-4.997520660979021,-3.919058767902098,-1.9838334190909088,-0.8861723170769231,2.103638491412587,-1.9896751215944057
topics,4.386569863870967,0.9129058316774193,3.4899982503225804,-1.35581511516129,4.465506474677419,3.3506755822580647,-10.843642001612903,3.445881963548387,-2.024908632580645,-8.852529606451613,-9.797902321290323,-7.044651410677419,-6.1762241348387095,-0.9499702696774194,-0.406905670483871
admissions,-2.5518208114285716,-0.7268836139285714,3.020355920357143,3.820309293571429,-1.0028956071428572,0.6695114474785715,2.528261055,-4.544505810714286,3.2012620471428574,-3.2765461392857143,-5.433594492857143,-1.4494961648428573,-5.025008167857143,3.8493746392857138,2.0819314721428572
others,4.276565836886446,-3.065001428446632,-7.257499224141105,0.9604286848969159,-7.412261718176239,-2.1015465690958566,7.298770030973962,2.3644735089889735,-8.991088481911511,-0.5026343733947137,-0.52125971439108,9.775717407518231,0.13965625983867314,-5.900109009318054,0.15330172055276206
pianos,-4.170890873333334,1.5200490466666667,2.2239176,-7.13817285,1.8692709833333334,-2.1570918133333334,-2.727405033333333,3.633005423333333,-5.136293946666667,-0.6526461333333338,1.96147567,-1.1448014333333334,-1.26328621,0.4361927466666665,0.20779078666666675
archaeologists,-3.185415491764706,-1.790161014117647,2.3051940147058825,-4.77514441117647,1.7417332829411765,-3.2785705888235293,-3.3236682970588234,-3.622604855882353,-3.376128503529412,-2.0912666335294117,0.299449528,3.178784596858824,-0.19444033117647042,-0.3055024970588236,0.6112898035294116
grief,-1.9424380297916666,-3.8949350806250003,1.86668663429375,-3.1946112776666666,5.432350106041667,2.486718197916667,1.469106100625,1.8907646744166664,1.9690417097916664,2.4435147022916666,-6.277482681416666,0.32707507624999993,1.9893894803541667,-3.1865215510416665,-4.4892230939583335
equities,-4.343928535,1.6586077433333335,-2.8112528268908332,1.7194231624999998,-3.058621675,-0.9666477945,0.44237103583333315,-2.483507783333333,4.495099721666667,2.692139775,1.7091370000000001,-1.4789413708333334,-2.8730798891666667,5.28439245,4.736238033333333
mosques,-3.762070250222222,-4.402467495422222,4.606440351222222,-5.991687971111111,2.708827156888889,-2.8920108944444447,-1.349692952222222,-3.3411715920444447,-0.7218752534444444,1.077120937111111,-7.266093866666667,0.4219589611111111,-4.336333612222222,6.4339624777777775,7.354945713333333
night,6.100348501131221,-14.812639389502262,6.82454504515837,2.7131380409954753,-0.43732803927601815,6.558020650904977,1.0339453852036198,5.84090078324887,-12.104874225339366,-4.9905325382352945,2.1683780605429863,-6.14760496400905,1.1884018323167422,-1.049481008325792,1.7589122652941176
enlargement,-2.8576552916666667,0.11008311833333345,-3.3738052308333333,-2.4746057141666666,4.697651651666667,-1.0357012016666667,-0.8527721835833334,-0.13509800083333334,4.891886676666666,4.1402371958333335,2.6876367583333334,4.034137989166666,-0.30708381291666664,-1.1003985525,-3.609982619166667
fatalities,9.339631725,-0.5798498683333334,0.6709650775,1.1372302133333334,4.013456183333333,-2.608396425,9.117841675000001,3.554679683333333,8.784066041666666,3.021336605,2.3996754640333338,3.7660193499999997,0.9607255102500001,-2.1550554509999995,-0.905178405
leaders,5.29796415389394,5.33045345164899,-5.690321266567957,3.420497624038159,-6.804866286001262,-1.6249394911774693,4.345389068674102,0.2518776087333053,-1.26452017235578,-3.2793643716363636,-4.231311482874299,-2.0180864187685184,-2.180096097565376,-2.1603706212728673,2.3753391195802473
republics,1.0071793038571428,3.836189657142857,0.3348415828571429,-0.7784464053428574,0.10046788285714296,-4.220990914285714,2.165188957142857,1.966873777857143,1.9989550900000002,1.984849475714286,-2.7138394114285718,-3.0796319571428574,0.9610397242857143,-3.224272094285714,0.9780976278571428
organizers,0.03528219831168844,-1.1377891107792208,-3.816227364025974,-2.3289413490909094,4.600838677311689,-0.9306443477922078,-1.0940914228571428,1.245914682077922,2.0520374148961036,-0.5340175767532467,-1.324145143857143,1.150740147792208,0.8822539312987012,0.5733654962337662,1.7053586470129871
coercion,3.215387135714286,1.770387409,-2.110583084785714,-4.114840168571429,7.206765883571428,-2.029631525,-2.4671461005714286,6.789079607142858,1.112585462857143,5.240163067142857,-1.7617039759285713,1.5286098278571427,-5.0119158214285715,-2.069137734285714,-0.35448222271428576
prospectors,2.5816134475000005,-0.00871843250000004,-1.0736015920000002,-5.362452695,-5.436807614,5.659843390000001,1.5756445490000002,2.144523005,-5.944500994999999,1.1467483039,6.680443595,-0.6363693515000001,-2.15860792875,-2.38126347,2.641531675
overview,-2.7791646253361346,-3.325903617815126,0.44912675310924377,1.8173134929915966,-2.648262670588235,2.982335702857143,-4.930515714369748,4.09036307394958,-2.5626520640336135,-4.160770565210084,0.9359539776386554,-5.274462503781512,1.6087360517647058,3.3508104867058828,4.124149519747899
inhabitants,5.16883119930303,-0.150222336969697,6.826842703030303,6.949917588681817,-0.10548958530303021,-8.63208001969697,1.3697821723484849,2.322281767113636,-7.965376306666667,-1.4525287193484848,-3.0024747907575757,1.6430626921212121,-3.520558981969697,7.025512947560606,-5.533234965924242
workshops,-6.1469609824302385,0.21791928553571416,-0.3381809029880953,-4.90455001952381,-3.7883016034761905,-1.0272875930357142,-3.186198286154762,-1.7897909202261906,-4.172441400464285,-4.877658560366667,-4.727627947857143,1.7847200164547619,-2.292168518583333,10.27664406872619,-4.0129649191666665
antiquities,-1.5579503533599999,5.230049895680001,-1.2787080448800001,3.122631816,-2.8962869492,-7.451821345440001,0.9771252067999999,0.62078660184,2.3040748558399997,-2.42739521104,0.27825871119999995,3.1372725515999997,-4.9567493148,2.41976314312,-1.1069972239199999
nuclei,-3.88283284,-0.4900644833333333,2.1421011333333335,2.1877323200000003,3.2273284233333337,-0.6291108000000001,2.612658192,3.0185718,1.952654943666667,1.7545577189000001,-0.1683070900000001,4.200023233333333,5.451094966666667,-0.28787105166666666,2.1211995666666668
