[20:26:07] [PID:719653] Total jobs: 236
[20:26:07] [PID:719653] Starting extraction...
[20:26:18] [PID:719666] done: Llama-1.3B | final | attn_zeroed | mean_pooled
[20:26:18] [PID:719665] done: Llama-3-8B | final | default | words_only
[20:26:18] [PID:719667] done: Llama-3-8B | final | attn_zeroed | words_only
[20:26:19] [PID:719664] done: Llama-3-8B | final | default | mean_pooled
[20:26:19] [PID:719666] done: Llama-3-8B | final | attn_zeroed | mean_pooled
[20:26:19] [PID:719665] done: BabyLM-125M | 24 | default | words_only
[20:26:19] [PID:719667] done: BabyLM-125M | 24 | attn_zeroed | words_only
[20:26:19] [PID:719664] done: BabyLM-125M | 24 | default | mean_pooled
[20:26:19] [PID:719666] done: BabyLM-125M | 24 | attn_zeroed | mean_pooled
[20:26:19] [PID:719665] done: BabyLM-125M | 48 | default | words_only
[20:26:20] [PID:719667] done: BabyLM-125M | 48 | attn_zeroed | words_only
[20:26:20] [PID:719664] done: BabyLM-125M | 48 | default | mean_pooled
[20:26:20] [PID:719665] done: BabyLM-125M | 144 | default | words_only
[20:26:20] [PID:719666] done: BabyLM-125M | 48 | attn_zeroed | mean_pooled
[20:26:20] [PID:719667] done: BabyLM-125M | 144 | attn_zeroed | words_only
[20:26:21] [PID:719664] done: BabyLM-125M | 144 | default | mean_pooled
[20:26:21] [PID:719665] done: BabyLM-125M | 384 | default | words_only
[20:26:21] [PID:719666] done: BabyLM-125M | 144 | attn_zeroed | mean_pooled
[20:26:21] [PID:719667] done: BabyLM-125M | 384 | attn_zeroed | words_only
[20:26:21] [PID:719665] done: BabyLM-125M | 912 | default | words_only
[20:26:21] [PID:719664] done: BabyLM-125M | 384 | default | mean_pooled
[20:26:21] [PID:719666] done: BabyLM-125M | 384 | attn_zeroed | mean_pooled
[20:26:21] [PID:719667] done: BabyLM-125M | 912 | attn_zeroed | words_only
[20:26:22] [PID:719665] done: BabyLM-125M | 2280 | default | words_only
[20:26:22] [PID:719664] done: BabyLM-125M | 912 | default | mean_pooled
[20:26:22] [PID:719666] done: BabyLM-125M | 912 | attn_zeroed | mean_pooled
[20:26:22] [PID:719667] done: BabyLM-125M | 2280 | attn_zeroed | words_only
[20:26:22] [PID:719665] done: BabyLM-350M | 48 | default | words_only
[20:26:22] [PID:719664] done: BabyLM-125M | 2280 | default | mean_pooled
[20:26:22] [PID:719666] done: BabyLM-125M | 2280 | attn_zeroed | mean_pooled
[20:26:22] [PID:719667] done: BabyLM-350M | 48 | attn_zeroed | words_only
[20:26:23] [PID:719665] done: BabyLM-350M | 96 | default | words_only
[20:26:23] [PID:719664] done: BabyLM-350M | 48 | default | mean_pooled
[20:26:23] [PID:719666] done: BabyLM-350M | 48 | attn_zeroed | mean_pooled
[20:26:23] [PID:719667] done: BabyLM-350M | 96 | attn_zeroed | words_only
[20:26:23] [PID:719665] done: BabyLM-350M | 288 | default | words_only
[20:26:24] [PID:719664] done: BabyLM-350M | 96 | default | mean_pooled
[20:26:24] [PID:719667] done: BabyLM-350M | 288 | attn_zeroed | words_only
[20:26:24] [PID:719666] done: BabyLM-350M | 96 | attn_zeroed | mean_pooled
[20:26:24] [PID:719665] done: BabyLM-350M | 768 | default | words_only
[20:26:24] [PID:719664] done: BabyLM-350M | 288 | default | mean_pooled
[20:26:24] [PID:719667] done: BabyLM-350M | 768 | attn_zeroed | words_only
[20:26:24] [PID:719666] done: BabyLM-350M | 288 | attn_zeroed | mean_pooled
[20:26:25] [PID:719665] done: BabyLM-350M | 1824 | default | words_only
[20:26:25] [PID:719664] done: BabyLM-350M | 768 | default | mean_pooled
[20:26:25] [PID:719667] done: BabyLM-350M | 1824 | attn_zeroed | words_only
[20:26:25] [PID:719666] done: BabyLM-350M | 768 | attn_zeroed | mean_pooled
[20:26:25] [PID:719665] done: BabyLM-350M | 4560 | default | words_only
[20:26:25] [PID:719664] done: BabyLM-350M | 1824 | default | mean_pooled
[20:26:25] [PID:719667] done: BabyLM-350M | 4560 | attn_zeroed | words_only
[20:26:25] [PID:719666] done: BabyLM-350M | 1824 | attn_zeroed | mean_pooled
[20:26:26] [PID:719665] done: BabyLM-1.3B | 97 | default | words_only
[20:26:26] [PID:719664] done: BabyLM-350M | 4560 | default | mean_pooled
[20:26:26] [PID:719667] done: BabyLM-1.3B | 97 | attn_zeroed | words_only
[20:26:26] [PID:719666] done: BabyLM-350M | 4560 | attn_zeroed | mean_pooled
[20:26:26] [PID:719665] done: BabyLM-1.3B | 194 | default | words_only
[20:26:27] [PID:719667] done: BabyLM-1.3B | 194 | attn_zeroed | words_only
[20:26:27] [PID:719664] done: BabyLM-1.3B | 97 | default | mean_pooled
[20:26:27] [PID:719666] done: BabyLM-1.3B | 97 | attn_zeroed | mean_pooled
[20:26:27] [PID:719665] done: BabyLM-1.3B | 582 | default | words_only
[20:26:27] [PID:719667] done: BabyLM-1.3B | 582 | attn_zeroed | words_only
[20:26:27] [PID:719664] done: BabyLM-1.3B | 194 | default | mean_pooled
[20:26:27] [PID:719666] done: BabyLM-1.3B | 194 | attn_zeroed | mean_pooled
[20:26:28] [PID:719665] done: BabyLM-1.3B | 1455 | default | words_only
