alpha,lam,mu,r2_pair,r2_word,gap,beta2
0.5,0.0,0.5,0.6540258594467653,0.6368376880023352,0.017188171444430078,0.0008172660292980298
0.5,0.0,0.5,0.6564577466051219,0.6423937577843472,0.014063988820774753,0.0007653399351297374
0.5,0.0,1.0,0.653495105151451,0.6466677404708607,0.006827364680590309,0.0024873969182367672
0.5,0.0,1.0,0.6540258594467653,0.6368376880023352,0.017188171444430078,0.002753993327072264
0.5,0.0,1.0,0.6564577466051219,0.6423937577843472,0.014063988820774753,0.0019407717869151277
0.5,0.5,0.0,0.6962111094184733,0.690290509718513,0.005920599699960283,4.6227227044116394e-05
0.5,0.5,0.0,0.6802975831621743,0.6785670566417196,0.0017305265204546894,-0.0005757526452845052
0.5,0.5,0.0,0.6897496134629064,0.6916010328217836,-0.0018514193588772265,-0.000351396654455094
0.5,0.5,0.5,0.6962111094184733,0.690290509718513,0.005920599699960283,0.0010691498488191488
0.5,0.5,0.5,0.6802975831621743,0.6785670566417196,0.0017305265204546894,0.00016696248751875073
0.5,0.5,0.5,0.6897496134629064,0.6916010328217836,-0.0018514193588772265,-0.00019565518980972293
0.5,0.5,1.0,0.6962111094184733,0.690290509718513,0.005920599699960283,0.0027193893807210233
0.5,0.5,1.0,0.6802975831621743,0.6785670566417196,0.0017305265204546894,0.0020718689116320365
0.5,0.5,1.0,0.6897496134629064,0.6916010328217836,-0.0018514193588772265,0.0013252610255148865
0.5,1.0,0.0,0.8463244718075783,0.8426219309427407,0.003702540864837567,0.00028020009718677987
0.5,1.0,0.0,0.8447347797230425,0.8408323356289337,0.0039024440941087812,-0.0005455098162330026
0.5,1.0,0.0,0.8484945173650917,0.8479679714182387,0.0005265459468530853,-5.146005765316319e-06
0.5,1.0,0.5,0.8463244718075783,0.8426219309427407,0.003702540864837567,0.001058931473432759
0.5,1.0,0.5,0.8447347797230425,0.8408323356289337,0.0039024440941087812,0.00012767112012107562
0.5,1.0,0.5,0.8484945173650917,0.8479679714182387,0.0005265459468530853,-2.2871909939625214e-05
0.5,1.0,1.0,0.8463244718075783,0.8426219309427407,0.003702540864837567,0.0027849334995293795
0.5,1.0,1.0,0.8447347797230425,0.8408323356289337,0.0039024440941087812,0.00196631645833383
0.5,1.0,1.0,0.8484945173650917,0.8479679714182387,0.0005265459468530853,0.0012920643809062361
1.0,0.0,0.0,0.8761984188992813,0.8727266754370767,0.0034717434622045795,0.00020005410634803527
1.0,0.0,0.0,0.8758202776716754,0.8692303929669182,0.006589884704757187,-0.0004152065854299966
1.0,0.0,0.0,0.8775263775548504,0.872749072548167,0.0047773050066833855,0.00027181838704108023
1.0,0.0,0.5,0.8761984188992813,0.8727266754370767,0.0034717434622045795,0.0014974229293573422
1.0,0.0,0.5,0.8758202776716754,0.8692303929669182,0.006589884704757187,0.0007735359148446429
1.0,0.0,0.5,0.8775263775548504,0.872749072548167,0.0047773050066833855,0.000993836908482427
1.0,0.0,1.0,0.8761984188992813,0.8727266754370767,0.0034717434622045795,0.0027627280926513145
1.0,0.0,1.0,0.8758202776716754,0.8692303929669182,0.006589884704757187,0.0027398576357900864
1.0,0.0,1.0,0.8775263775548504,0.872749072548167,0.0047773050066833855,0.0022468085919794215
1.0,0.5,0.0,0.8578444172065947,0.854933583855703,0.002910833350891706,0.0001336534470927752
1.0,0.5,0.0,0.8455158665252949,0.8472092993312554,-0.0016934328059605708,-0.00047625169526384
1.0,0.5,0.0,0.8519621723415964,0.8523713624326525,-0.0004091900910561108,-0.00015392735895769383
1.0,0.5,0.5,0.8578444172065947,0.854933583855703,0.002910833350891706,0.0011094203782015455
1.0,0.5,0.5,0.8455158665252949,0.8472092993312554,-0.0016934328059605708,0.00012683250292319648
1.0,0.5,0.5,0.8519621723415964,0.8523713624326525,-0.0004091900910561108,4.530421678090868e-05
1.0,0.5,1.0,0.8578444172065947,0.854933583855703,0.002910833350891706,0.002760182285718206
1.0,0.5,1.0,0.8455158665252949,0.8472092993312554,-0.0016934328059605708,0.0019110978969618143
1.0,0.5,1.0,0.8519621723415964,0.8523713624326525,-0.0004091900910561108,0.0015575065859651585
1.0,1.0,0.0,0.8986543022115001,0.8960705459962496,0.0025837562152505322,0.0002044594404241023
1.0,1.0,0.0,0.8929752245427574,0.8936172227555836,-0.0006419982128262891,-0.0005104987385211677
1.0,1.0,0.0,0.8974711391455237,0.8980464528426746,-0.0005753136971509143,0.00013897891759052363
1.0,1.0,0.5,0.8986543022115001,0.8960705459962496,0.0025837562152505322,0.0010179664919422885
1.0,1.0,0.5,0.8929752245427574,0.8936172227555836,-0.0006419982128262891,5.095764477151994e-05
1.0,1.0,0.5,0.8974711391455237,0.8980464528426746,-0.0005753136971509143,0.00019319174564594397
1.0,1.0,1.0,0.8986543022115001,0.8960705459962496,0.0025837562152505322,0.002772197611426521
1.0,1.0,1.0,0.8929752245427574,0.8936172227555836,-0.0006419982128262891,0.0017465377517267323
1.0,1.0,1.0,0.8974711391455237,0.8980464528426746,-0.0005753136971509143,0.001497492924778264
