condition,layer,mode,term,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,7,mean_pooled,log_freq,146850,-0.04161712344507756,0.014658920395942373,-2.8390305916796765,0.0045257028780789545,-0.07034831629078193,-0.012885930599373183
attn_zeroed,7,mean_pooled,model_size125,146850,0.0162230483228015,0.014459175566075642,1.1219898567982178,0.26186858726243994,-0.012116648623353408,0.044562745268956414
attn_zeroed,7,mean_pooled,model_size1300,146850,1.3201617557225074,0.014459175566094926,91.30269908459596,0,1.2918220587763147,1.3485014526687
attn_zeroed,7,mean_pooled,log_freq:model_size125,146850,-0.017707557769929546,0.020730844033724896,-0.8541648251814025,0.3930150631772118,-0.0583396003555513,0.022924484815692214
attn_zeroed,7,mean_pooled,log_freq:model_size1300,146850,-0.08577786383366028,0.020730844033693987,-4.1376927873387555,3.510108037811275e-5,-0.12640990641922145,-0.04514582124809909
attn_zeroed,7,words_only,log_freq,146850,-0.07147015834701988,0.014447498552948235,-4.946888077897421,7.549241303849817e-7,-0.09978696857935387,-0.04315334811468587
attn_zeroed,7,words_only,model_size125,146850,0.030517602485371765,0.014250634591448225,2.1414907728870762,0.03223612241181542,0.00258664170780332,0.058448563262940206
attn_zeroed,7,words_only,model_size1300,146850,1.4224934304567718,0.014250634591467233,99.81965514072684,0,1.394562469679166,1.4504243912343775
attn_zeroed,7,words_only,log_freq:model_size125,146850,0.012062196885084312,0.020431848395980157,0.5903624895463435,0.5549485614267158,-0.027983820188696457,0.052108213958865085
attn_zeroed,7,words_only,log_freq:model_size1300,146850,-0.060905475551469246,0.020431848395949692,-2.9809087445824454,0.0028744150345438617,-0.1009514926251903,-0.020859458477748186
attn_zeroed,8,individual,log_freq,146850,-0.08486917368717624,0.01428814068090856,-5.939833291295641,2.859512023543413e-9,-0.1128736456552053,-0.056864701719147176
attn_zeroed,8,individual,model_size125,146850,0.026781795113669394,0.01409344815565206,1.900301105725413,0.057395572955277384,-8.410833715060441e-4,0.054404673598844835
attn_zeroed,8,individual,model_size1300,146850,1.4420905384478633,0.014093448155670858,102.3234713406599,0,1.414467659962651,1.4697134169330757
