model,condition,n,r2_probe,r2_behav,beta2_probe,beta2_probe_lo,beta2_probe_hi,beta2_behav,beta2_behav_lo,beta2_behav_hi
znhoughton_opt-babylm-1.3b-20eps-seed964_step97,attn_zeroed,48950,0.633627969182011,0.04059674108854413,-0.006727851297352452,-0.016887152112395283,0.0034314495176903815,-0.03054190246852015,-0.05091273839810482,-0.010171066538935479
znhoughton_opt-babylm-1.3b-20eps-seed964_step97,default,48950,0.38996088542966323,0.040214813027782494,-0.013411002825578285,-0.027033289107877438,0.00021128345672086733,-0.02979344762099157,-0.04985889248102769,-0.009728002760955454
znhoughton_opt-babylm-125m-20eps-seed964,attn_zeroed,48950,0.17293922399343464,0.15461884704626846,0.024323992726165797,0.008335770181211434,0.04031221527112016,0.011040951436634222,-0.0054449849374130985,0.027526887810681543
znhoughton_opt-babylm-125m-20eps-seed964,default,48950,0.22078253565405723,0.16628405434359914,0.07293598793629343,0.05646964677653614,0.08940232909605071,0.07358701590604462,0.05618859211359762,0.09098543969849163
znhoughton_opt-babylm-125m-20eps-seed964_step144,attn_zeroed,48950,0.41948918319453826,0.05117475755318583,-0.009621251696163442,-0.02063402505053901,0.0013915216582121252,-0.02806401870276908,-0.04457519807290804,-0.01155283933263012
znhoughton_opt-babylm-125m-20eps-seed964_step144,default,48950,0.3314480973478337,0.054019914451135014,-0.0106560520849277,-0.022327254201484327,0.001015150031628928,-0.022855901835799806,-0.03880133550936987,-0.006910468162229736
znhoughton_opt-babylm-125m-20eps-seed964_step2280,attn_zeroed,48950,0.1748385610260814,0.1645933082146161,0.018811608125000406,0.0034156647203238445,0.03420755152967697,0.008974486596227696,-0.006717293399631438,0.02466626659208683
znhoughton_opt-babylm-125m-20eps-seed964_step2280,default,48950,0.21772678715204669,0.1593066781449315,0.05624712303048514,0.04052798694346116,0.07196625911750912,0.05782479133817331,0.041314541734227286,0.07433504094211933
znhoughton_opt-babylm-125m-20eps-seed964_step24,attn_zeroed,48950,0.6800732796737292,0.04131082497829423,-0.0052930694073862125,-0.016153982222828572,0.005567843408056147,-0.041286951863601457,-0.06371993570641685,-0.018853968020786073
znhoughton_opt-babylm-125m-20eps-seed964_step24,default,48950,0.3906034405089464,0.041141089211312674,-0.008270400419299183,-0.023620714522353526,0.00707991368375516,-0.04014904934384453,-0.06258278487780215,-0.0177153138098869
