word1,word2,freq_w1w2,freq_w2w1,freq_total
acetic,formic,607,734,1341
acetone,butterscotch,1,7,8
acetone,phenol,271,2156,2427
ache,pain,1524,266,1790
acetone,ethanol,3248,3881,7129
ached,throbbed,562,425,987
achievement,civilisation,2,0,2
aches,pains,57323,1775,59098
aches,bruises,537,164,701
acheulean,clactonian,0,0,0
achievement,exhilaration,12,11,23
aching,bruised,145,596,741
achievements,progress,553,1346,1899
achievement,success,1846,2153,3999
achievement,merit,217,268,485
aching,cramped,36,214,250
aching,dry,25,124,149
aching,sore,285,769,1054
aching,hot,25,228,253
achy,hot,29,160,189
achy,tired,243,793,1036
acid,alkali,4067,635,4702
acid,carbonate,216,120,336
acid,coke,13,20,33
acid,metal,848,327,1175
acid,nerves,47,7,54
acid,water,7218,2609,9827
acidity,alkalinity,1029,174,1203
acidic,anaerobic,98,56,154
acidic,toxic,127,98,225
acidity,salinity,165,173,338
acids,alkalis,1706,249,1955
acids,bases,10564,447,11011
acids,carbonates,32,31,63
acids,enzymes,1570,549,2119
acknowledge,state,36,74,110
acknowledged,recognized,463,1993,2456
acknowledged,appreciated,1129,470,1599
acknowledges,responds,101,6,107
acne,eczema,624,393,1017
aconite,belladonna,17,3,20
acorn,nut,17,252,269
acorns,beechnuts,171,82,253
acorns,nuts,172,467,639
acoustic,electric,9330,6852,16182
acoustic,rap,1,7,8
acoustics,sightlines,49,54,103
acquired,natural,53,1496,1549
acquired,original,42,574,616
acquaintances,friends,2437,46833,49270
acquisition,downsizing,8,0,8
acquisition,opening,31,7,38
acquisitions,mergers,1750,60956,62706
acquisitions,developments,90,64,154
acquisition,possession,773,280,1053
acquitted,tried,2,5083,5085
acres,acres,5071,5071,10142
acrid,hot,87,162,249
acrobatic,energetic,10,22,32
acrid,dense,11,34,45
acrobats,dancers,225,404,629
acronyms,bits,1,1,2
across,across,833,833,1666
acrobats,jugglers,244,413,657
across,up,1469,5469,6938
act,feel,1914,5490,7404
act,snort,0,3,3
act,speak,3031,8869,11900
act,looks,22,42,64
act,go,282,678,960
act,stand,96,289,385
act,think,3567,29337,32904
act,understand,112,2870,2982
act,words,74,218,292
act,talk,1225,3098,4323
acted,written,212,1478,1690
acting,commercial,35,12,47
acting,dance,477,527,1004
acting,collaborations,1,3,4
acting,dancing,1002,1446,2448
acting,directing,3539,1531,5070
acting,duplicity,1,2,3
acting,modelling,298,435,733
acting,performing,516,145,661
acting,modeling,1408,1558,2966
acting,playing,227,161,388
acting,recitation,12,16,28
acting,singing,3211,3377,6588
acting,speaking,1119,2499,3618
actinium,lawrencium,6,0,6
action,adventure,7767,850,8617
action,annoyance,0,2,2
action,consciousness,185,588,773
action,danger,419,147,566
action,decision,1654,2846,4500
action,drama,3363,1327,4690
action,dress,74,47,121
action,evolution,101,19,120
action,excitement,2039,525,2564
action,exercise,126,24,150
action,grace,77,61,138
action,heart,294,271,565
action,humor,945,774,1719
action,incident,128,173,301
action,interest,184,500,684
action,life,467,2730,3197
action,money,170,95,265
action,motive,73,292,365
action,necessity,11,12,23
action,nerve,29,9,38
action,reaction,9943,177,10120
action,romance,1052,495,1547
action,speech,1345,5393,6738
action,scene,94,199,293
action,temperament,4,14,18
action,reality,113,79,192
action,thinking,290,3365,3655
action,voice,164,487,651
action,thought,2305,27840,30145
action,word,526,4090,4616
actions,events,4870,4395,9265
actions,looks,89,452,541
actions,emotions,2019,2889,4908
actions,objects,1074,2819,3893
actions,reactions,8838,407,9245
activated,developed,47,67,114
actions,word,42,180,222
active,acute,96,220,316
actions,shape,82,31,113
active,aggressive,2102,382,2484
active,agile,301,204,505
active,alert,1648,1870,3518
active,armed,63,131,194
active,alive,965,4415,5380
active,brave,111,315,426
active,common,46,88,134
active,brisk,29,183,212
active,cheery,5,11,16
active,broad,164,358,522
active,competitive,375,72,447
active,courageous,199,78,277
active,creative,1764,562,2326
active,dynamic,2151,867,3018
active,curious,446,199,645
active,enterprising,556,71,627
active,fit,1342,3265,4607
active,gregarious,38,27,65
active,extinct,395,53,448
active,fun,680,881,1561
active,handsome,37,32,69
active,industrious,440,89,529
active,keen,119,316,435
active,intelligent,1622,513,2135
active,healthy,9215,10244,19459
active,large,221,3599,3820
active,lithe,25,275,300
active,manager,2,22,24
active,light,130,584,714
active,many,324,26,350
active,open,2014,3208,5222
active,prompt,65,182,247
active,passive,76452,36139,112591
active,playful,607,225,832
active,powerful,1061,790,1851
active,reactive,5416,237,5653
active,smart,167,298,465
active,regular,619,318,937
active,slight,0,43,43
active,rested,14,11,25
active,stirring,124,23,147
active,vibrant,1450,1391,2841
active,vigorous,1151,766,1917
active,undaunted,7,3,10
active,strong,1118,4238,5356
active,well,3729,316,4045
active,wiry,34,95,129
actively,steadily,47,18,65
active,young,262,4401,4663
actively,successfully,625,21,646
activism,art,391,1784,2175
activism,journalism,262,471,733
activist,revolutionary,261,59,320
activist,president,570,33,603
activists,journalists,6149,5942,12091
activists,partisans,42,29,71
activists,students,828,2037,2865
activists,protesters,907,924,1831
activities,beliefs,606,1129,1735
activities,capabilities,411,310,721
activities,culture,226,269,495
activities,exhibitions,243,358,601
activities,engagements,124,81,205
activities,events,14264,24458,38722
activities,foods,137,577,714
activities,gestures,60,73,133
activity,bustle,162,922,1084
activity,agitation,131,66,197
activities,settings,258,281,539
activities,precautions,16,1,17
activity,commotion,62,70,132
activity,eagerness,21,49,70
activity,intercedes,0,0,0
activity,dynamics,356,388,744
activity,exchange,132,35,167
activity,life,1303,4229,5532
activity,presence,878,4918,5796
activity,mot,613,0,613
activity,pluck,1,5,6
activity,passivity,1395,409,1804
activity,purpose,276,286,562
activity,vim,0,5,5
activity,tv,0,0,0
activity,stir,21,49,70
activity,topic,10,48,58
activity,work,1991,1240,3231
actors,actresses,30109,1254,31363
actors,broadcasters,54,17,71
actors,bards,1,3,4
actor,comedian,16546,10715,27261
actors,directors,8144,4140,12284
actors,incarnations,0,3,3
actors,models,1128,1045,2173
actors,hosts,23,38,61
actors,filmmakers,1907,1569,3476
actors,musicians,4158,2247,6405
actors,objects,434,251,685
actors,puppeteers,63,16,79
actors,scenery,111,64,175
actors,orphans,6,1,7
actors,technicians,984,217,1201
actors,writers,3067,3621,6688
actress,material,1,0,1
actress,comedian,4385,2104,6489
actress,singer,26114,20291,46405
actresses,socialites,55,14,69
acts,feelings,225,214,439
acts,looks,349,7299,7648
acts,feels,369,779,1148
acts,speaks,550,1535,2085
acts,talks,363,772,1135
actual,ideal,1876,1282,3158
actually,really,224,351,575
actual,real,1073,2358,3431
actual,predicted,8503,10489,18992
acupuncture,hypnosis,157,143,300
acute,earnest,8,16,24
acute,right,51,37,88
acupuncture,moxibustion,6260,205,6465
acute,chronic,220271,20142,240413
acute,sympathetic,61,19,80
adapt,evolve,3372,3555,6927
adaptable,responsive,267,242,509
adapt,survive,3400,1378,4778
adapt,wait,9,16,25
adaptable,tough,24,191,215
adaptation,speciation,1392,384,1776
adaptation,translation,549,2913,3462
adaptations,skills,6,62,68
adaptive,innate,8761,110188,118949
add,shift,102,1130,1232
added,new,539,296,835
added,needless,7,4,11
added,laughed,144,1135,1279
add,subtract,13131,578,13709
added,turned,94,316,410
addiction,dreams,8,4,12
addiction,recovery,3542,109,3651
addiction,overdose,2175,396,2571
addiction,depression,2423,2098,4521
addiction,violence,475,389,864
addictive,dangerous,1141,1295,2436
addition,deletions,28,9,37
addition,erm,0,0,0
adding,subtracting,14459,661,15120
addition,multiplication,24809,5673,30482
additional,new,444,5425,5869
additional,indirect,360,18,378
additional,replacement,49,140,189
addition,subtraction,23908,1037,24945
additional,unconscious,0,0,0
additions,changes,3972,8623,12595
additives,things,10,0,10
address,name,3444,133418,136862
addressed,sealed,123,608,731
addressed,stamped,2525,804,3329
addresses,orations,11,10,21
addresses,names,1424,74853,76277
addresses,essays,48,239,287
addresses,class,37,6,43
addresses,responds,66,4,70
addresses,sermons,67,399,466
adenine,cytosine,987,588,1575
adenine,guanine,3637,1605,5242
adept,swift,7,22,29
adequate,appropriate,4872,2566,7438
adequate,continuous,414,479,893
adieu,goodwill,0,0,0
adjacent,opp,2,0,2
adjacent,hypotenuse,58,24,82
adjacent,opposite,405,440,845
adjacent,things,0,0,0
adjectives,nouns,1678,4705,6383
adjoining,connecting,22,6,28
adjectives,adverbs,5175,1043,6218
adjusted,brought,43,7,50
adjusting,rectifying,5,3,8
adjusting,testing,126,673,799
adjustments,experiments,9,27,36
adjustment,haggling,0,5,5
adjutant,secretary,24,23,47
administration,faculty,1693,4378,6071
administration,politics,469,1088,1557
administration,marketing,662,715,1377
administration,government,1105,2483,3588
administration,security,1115,659,1774
administration,statecraft,10,18,28
administrative,business,911,1085,1996
administration,statistics,48,17,65
administrative,city,2,176,178
administrative,civilian,14,24,38
administrative,clerical,1556,1702,3258
administrative,commercial,1252,1395,2647
administrative,cultural,725,580,1305
administrative,county,9,17,26
administrative,economic,2095,2781,4876
administrative,executive,1346,3650,4996
administrative,geography,2,18,20
administrative,legal,4528,7756,12284
administrative,financial,7302,7988,15290
administrative,management,1887,2779,4666
administrative,military,2007,2967,4974
administrative,municipal,5877,105,5982
administrative,political,3227,8805,12032
administrative,organisational,347,346,693
administrative,service,701,524,1225
administrative,social,727,1072,1799
administrators,executors,233,2428,2661
administrative,territorial,384,404,788
administrative,statistical,302,163,465
administrators,governors,121,2199,2320
administrators,students,1486,2505,3991
admirable,exciting,29,43,72
administrators,warriors,27,66,93
admirable,attractive,74,47,121
admirable,fine,14,159,173
admirable,good,76,404,480
admirable,impressive,130,144,274
admirable,ingenious,27,33,60
admirable,shocking,2,10,12
admirable,successful,57,56,113
admiration,affection,2619,2446,5065
admiration,amazement,257,616,873
admiration,astonishment,471,1054,1525
admiration,applause,405,376,781
admiration,attention,447,2252,2699
admiration,awe,1221,2649,3870
admiration,content,20,5,25
admiration,curiosity,231,619,850
admiration,criticism,121,43,164
admiration,delight,853,724,1577
admiration,devotion,365,195,560
admiration,encouragement,86,56,142
admiration,ecstasy,13,7,20
admiration,dread,64,32,96
admiration,envy,1653,1264,2917
admiration,gratitude,2191,2194,4385
admiration,homage,104,61,165
admiration,interest,292,1171,1463
admiration,love,2476,8941,11417
admiration,pleasure,308,513,821
admiration,pity,365,483,848
admiration,praise,719,2164,2883
admiration,pride,478,1012,1490
admiration,respect,9030,22814,31844
admiration,support,813,1124,1937
admiration,surprise,390,1653,2043
admiration,sympathy,636,1386,2022
admiration,wonder,898,3707,4605
admire,come,8,392,400
admire,envy,553,264,817
admire,contemplate,17,70,87
admire,love,2240,5637,7877
admire,like,433,2992,3425
admire,observe,22,198,220
admire,respect,6597,7549,14146
admire,see,76,1515,1591
admired,flattered,53,61,114
admired,feared,772,762,1534
admired,examined,30,146,176
admired,petted,109,119,228
admired,loved,2414,6882,9296
admirers,friends,454,6068,6522
admired,praised,568,600,1168
admired,reverenced,63,11,74
admiring,envious,106,65,171
admiring,sympathetic,46,67,113
admiringly,cautiously,1,0,1
admiringly,kindly,0,17,17
admiringly,earnestly,0,6,6
admission,knock,2,0,2
admission,listing,8,18,26
admissions,statements,459,1247,1706
adolescence,childhood,311,56704,57015
admonition,warning,144,94,238
adolescent,pediatrician,2,56,58
adolescent,teenage,293,68,361
adopt,finalise,0,18,18
adolescents,adults,37543,13932,51475
adolescents,children,4560,390253,394813
adopted,disabled,1,2,3
adopted,approved,1904,5120,7024
adopted,recognised,17,111,128
adopted,unadopted,8,2,10
adopted,jewish,1,0,1
adoptions,marriages,30,139,169
adopters,developers,195,74,269
adoration,love,453,2739,3192
adorable,cute,526,2648,3174
adorable,sweetest,10,3,13
adoration,thanksgiving,122,56,178
adore,love,516,4614,5130
adoring,faithful,14,51,65
adored,famous,4,130,134
adoring,staunch,0,0,0
adoring,trusting,7,13,20
adorned,ready,16,23,39
adornment,cleanliness,3,5,8
adorning,polishing,2,8,10
adornment,beauty,41,214,255
adrenaline,cortisol,2713,2080,4793
adroit,expert,10,1,11
ads,craigslist,3,0,3
adroit,unscrupulous,12,2,14
adult,child,12994,13036,26030
adult,children,5645,249620,255265
adult,immature,1696,3225,4921
adult,sane,45,54,99
adult,larval,3866,10953,14819
adult,older,1392,331,1723
adulterers,sluts,2,1,3
adult,teen,995,1831,2826
adultery,theft,180,216,396
adulthood,childhood,592,12601,13193
adultery,murder,1418,866,2284
adults,children,145437,242829,388266
adults,families,2710,885,3595
adults,juniors,291,206,497
adults,larvae,4558,9139,13697
adults,kids,9757,32938,42695
adults,professionals,352,84,436
adults,maggots,5,3,8
adults,teenagers,2741,7047,9788
adults,teens,3400,11661,15061
adults,pupils,37,103,140
adults,vegans,0,2,2
advance,curtsey,0,0,0
advanced,brightened,0,0,0
advanced,neglected,8,6,14
advanced,enlightened,206,111,317
advanced,opened,77,19,96
advanced,primitive,85,411,496
advanced,receded,203,7,210
advanced,working,11,4,15
advanced,secretive,29,4,33
advancing,pawing,2,3,5
advancement,protection,335,526,861
advantage,interest,70,325,395
advantage,power,189,441,630
advantage,opportunity,292,204,496
advantage,profit,451,631,1082
advantages,benefits,6556,9785,16341
adventure,companionship,34,39,73
adventure,battle,185,147,332
advantages,disadvantages,205090,1172,206262
adventure,danger,825,907,1732
adventure,daring,289,224,513
adventure,escape,220,173,393
adventure,excitement,2756,2941,5697
adventure,disaster,21,8,29
adventure,fascination,49,8,57
adventure,fun,1479,5582,7061
adventure,incident,64,160,224
adventure,intrigue,794,567,1361
adventure,life,179,838,1017
adventure,mystery,936,1446,2382
adventure,novelty,108,215,323
adventure,pluck,0,22,22
adventure,poetry,19,66,85
adventure,peril,180,210,390
adventure,promise,43,55,98
adventure,recreation,83,175,258
adventure,roaming,0,7,7
adventure,romance,2107,2654,4761
adventure,sport,196,390,586
adventure,storm,2,2,4
adventure,surprise,83,71,154
adventure,wandering,14,58,72
adventure,voyage,6,49,55
adventure,travel,1077,4172,5249
adventure,war,132,356,488
adventure,wealth,90,168,258
adventurers,conquistador,0,0,0
adventure,zest,16,39,55
adventurers,explorers,424,901,1325
adventurers,fortune,88,13,101
adventurers,wanderers,21,39,60
adventures,change,12,10,22
adventures,challenges,553,601,1154
adventures,dangers,196,200,396
adventures,delays,1,18,19
adventures,dreams,114,349,463
adventures,freedom,25,26,51
adventures,pictures,24,47,71
adventures,scenes,44,161,205
adventurous,fuzzy,3,2,5
adventurous,keen,21,30,51
adventurous,long,11,426,437
adventurous,romantic,220,390,610
adventurous,lower,0,0,0
adventurous,sensational,5,6,11
adverbs,nouns,76,193,269
adverbs,prepositions,208,159,367
adverse,deliberate,0,0,0
adversity,prosperity,235,995,1230
adversity,sin,9,9,18
adversity,time,27,62,89
adversity,trouble,30,128,158
advertisements,icons,5,11,16
advertisements,commercials,400,554,954
advertisements,pamphlets,60,87,147
advertisements,performances,3,21,24
advertiser,schedulers,0,0,0
advertisers,blocktimers,0,6,6
advertisers,politicians,149,121,270
advertisers,professionals,1,23,24
advertisers,schedulers,0,0,0
advertisers,subscribers,265,438,703
advertising,circularizing,0,0,0
advertising,copy,100,22,122
advertising,distribution,739,593,1332
advertising,fee,33,55,88
advertising,illustration,85,106,191
advertising,marketing,56681,38561,95242
advertising,merchandising,507,260,767
advice,aid,704,1787,2491
advice,assistance,21252,7296,28548
advice,blessings,109,66,175
advice,comments,3302,4002,7304
advice,criticisms,68,84,152
advice,encouragement,8042,3269,11311
advice,finance,81,63,144
advice,guidance,23053,7624,30677
advice,information,16453,27232,43685
advice,help,12927,29660,42587
advice,injunctions,21,17,38
advice,love,188,218,406
advice,opinions,2418,3407,5825
advice,persuasion,129,28,157
advice,orders,309,185,494
advice,praise,88,71,159
advice,seminars,6,15,21
advice,support,33040,20826,53866
advice,training,2355,2302,4657
advisable,judicious,0,0,0
advise,check,20,187,207
advise,come,8,216,224
advise,observe,48,178,226
adviser,technicians,3,1,4
advise,wisdom,25,27,52
advising,preaching,2,24,26
advisor,ceo,0,0,0
advisors,ministers,113,206,319
advisors,aid,18,88,106
advisor,counsel,274,84,358
advisors,helpers,18,27,45
advisory,analytics,21,233,254
advisory,consultative,262,169,431
advocacy,religion,6,14,20
aeolian,fluvial,110,133,243
advocacy,research,1734,10200,11934
advisory,investment,643,963,1606
aerial,ground,2903,2048,4951
aerials,satellites,7,2,9
aerobic,gymnastic,5,2,7
aerodromes,heliports,73,3,76
aerodromes,radar,3,6,9
aerodynamics,speed,44,114,158
aerodynamics,aeroelasticity,38,5,43
aeronautical,mechanical,93,208,301
aeronautical,astronautical,292,18,310
aerolites,fossils,3,3,6
aeronautical,space,622,101,723
aeronauts,workers,0,0,0
aeroplanes,space,24,0,24
aeroplanes,balloons,34,77,111
aeroplanes,automobiles,37,102,139
aeroplanes,tanks,72,286,358
aerospace,weapons,67,58,125
aerospace,defense,9787,2699,12486
aesthetic,embalming,0,0,0
aesthetic,ethical,1277,1458,2735
aesthetic,legal,27,35,62
aesthetic,nice,4,16,20
aesthetic,political,2307,2022,4329
aesthetics,literature,109,277,386
aestheticism,dedication,0,0,0
af,fa,0,0,0
af,missus,0,0,0
af,mother,0,8,8
afar,alone,11,59,70
afar,anear,31,20,51
affable,gregarious,68,45,113
afar,swiftly,0,4,4
affable,cordial,21,30,51
affably,quickly,2,1,3
afeard,fled,3,0,3
affecting,effective,54,189,243
affairs,men,61,570,631
