item_set,condition,model_a,model_b,family_a,family_b,same_family,pearson,spearman,pearson_resid,n
attested,default,gpt2-xl,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.6083083220898878,0.5474248827109157,0.5896921595421479,48950
attested,default,gpt2-xl,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.7166707006274902,0.6468945004463517,0.7011880111073229,48950
attested,default,gpt2-xl,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.7446026271386758,0.6695788442853876,0.7300038570145337,48950
attested,default,gpt2-xl,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.739061318906092,0.661393714355013,0.7247743791949907,48950
attested,default,gpt2-xl,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.7229112278003083,0.6458871412005979,0.707129529469823,48950
attested,default,gpt2-xl,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.7046029033019314,0.6293778422761171,0.688273467478447,48950
attested,default,gpt2-xl,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.6628827996085657,0.5915789827040784,0.6435892731923627,48950
attested,default,gpt2-xl,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.6993433929680589,0.631230686281696,0.6836201928846533,48950
attested,default,gpt2-xl,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.6427335215327438,0.5837650473602933,0.6229515526059397,48950
attested,default,EleutherAI_pythia-160m,EleutherAI_pythia-410m,Pythia,Pythia,True,0.6925507858663175,0.619452930680362,0.6776821924633233,48950
attested,default,EleutherAI_pythia-160m,EleutherAI_pythia-1b,Pythia,Pythia,True,0.6620793019641202,0.5869959674952943,0.6450406624823851,48950
attested,default,EleutherAI_pythia-160m,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.6257351014188827,0.5498697628765308,0.6075711914182327,48950
attested,default,EleutherAI_pythia-160m,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.587927550287072,0.5175556328321134,0.5671492876422054,48950
attested,default,EleutherAI_pythia-160m,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.5588191960551553,0.5021384136742423,0.5370824696887411,48950
attested,default,EleutherAI_pythia-160m,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.5146771968407174,0.4720592306179227,0.4899160903991451,48950
attested,default,EleutherAI_pythia-160m,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.5246285314690436,0.4860177230391162,0.5024032205865198,48950
attested,default,EleutherAI_pythia-160m,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.48013133304189215,0.4536718498046202,0.4544384881786965,48950
attested,default,EleutherAI_pythia-410m,EleutherAI_pythia-1b,Pythia,Pythia,True,0.7881913018608255,0.7130644606358113,0.7756641597988974,48950
attested,default,EleutherAI_pythia-410m,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.734529672041143,0.6534271106910455,0.7196185947668415,48950
attested,default,EleutherAI_pythia-410m,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.7013365928583919,0.6231790472997304,0.6838138398634789,48950
attested,default,EleutherAI_pythia-410m,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.6675293111636329,0.5987886353643836,0.6486017082024408,48950
attested,default,EleutherAI_pythia-410m,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.6204419579890966,0.557719057441594,0.5980105139862884,48950
attested,default,EleutherAI_pythia-410m,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.6536106362540125,0.5926422873891037,0.6350972469250639,48950
attested,default,EleutherAI_pythia-410m,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.5956730705901513,0.5470868606065079,0.5726594372555814,48950
attested,default,EleutherAI_pythia-1b,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.7691171573545539,0.6856071067396518,0.7555043381646176,48950
attested,default,EleutherAI_pythia-1b,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.7478905928628428,0.6637722608740045,0.7322381097737116,48950
attested,default,EleutherAI_pythia-1b,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.7140678032002933,0.6382369772972004,0.6968852184131921,48950
attested,default,EleutherAI_pythia-1b,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.674451093923699,0.6042095851725088,0.6540453713760186,48950
attested,default,EleutherAI_pythia-1b,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.6994765661659946,0.6332667187412159,0.6827109079408333,48950
attested,default,EleutherAI_pythia-1b,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.6468765932741567,0.5896956625864649,0.6256619223319684,48950
attested,default,allenai_OLMo-1B-hf,allenai_OLMo-7B-hf,OLMo,OLMo,True,0.7901747633255045,0.7110583758898364,0.7778682987628195,48950
attested,default,allenai_OLMo-1B-hf,allenai_OLMo-2-0425-1B,OLMo,OLMo,True,0.7275599463479065,0.6526551263508907,0.7120697887581389,48950
attested,default,allenai_OLMo-1B-hf,allenai_OLMo-2-1124-7B,OLMo,OLMo,True,0.6900249953810801,0.6186563243354312,0.6717539289056478,48950
attested,default,allenai_OLMo-1B-hf,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.7309523209533821,0.6667481799787721,0.7165391863206394,48950
attested,default,allenai_OLMo-1B-hf,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.675093322186379,0.6185008705190308,0.6565968275724289,48950
attested,default,allenai_OLMo-7B-hf,allenai_OLMo-2-0425-1B,OLMo,OLMo,True,0.7437031202769601,0.6699815661925733,0.7284693470411776,48950
attested,default,allenai_OLMo-7B-hf,allenai_OLMo-2-1124-7B,OLMo,OLMo,True,0.755927467787871,0.6864588479679092,0.7408302441943987,48950
attested,default,allenai_OLMo-7B-hf,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.7427258950124552,0.6732078971292806,0.7284444050876373,48950
attested,default,allenai_OLMo-7B-hf,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.7490383975382335,0.6894169788710394,0.7341107064336153,48950
attested,default,allenai_OLMo-2-0425-1B,allenai_OLMo-2-1124-7B,OLMo,OLMo,True,0.7741136257013173,0.6982387363904994,0.7606049488244802,48950
attested,default,allenai_OLMo-2-0425-1B,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.7128480545913864,0.6579924583758653,0.6973547667889047,48950
attested,default,allenai_OLMo-2-0425-1B,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.6779820889649308,0.6269507832545531,0.6594248657203601,48950
attested,default,allenai_OLMo-2-1124-7B,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.6841458269446793,0.6252403786946785,0.6665417644468483,48950
attested,default,allenai_OLMo-2-1124-7B,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.7506272725871062,0.6909443068571486,0.7357226084264459,48950
attested,default,meta-llama_Llama-3.2-1B,meta-llama_Meta-Llama-3-8B,Llama,Llama,True,0.7578504041851757,0.6905207233915512,0.7447770480745666,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,znhoughton_opt-babylm-350m-20eps-seed964,BabyLM,BabyLM,True,0.6627709738506958,0.596327770232229,0.6519304664556108,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,znhoughton_opt-babylm-1_3b-20eps-seed964,BabyLM,BabyLM,True,0.4402575142580717,0.3868643758509186,0.41810588210468225,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.2563086564645083,0.30075311369275726,0.27516171031508974,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.2816185673737261,0.29246060533735946,0.29458007829579036,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.33074561528548047,0.2968129433716935,0.3391230549234552,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.29961660132244916,0.2792857378543245,0.3124242825856891,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.37573203079655315,0.3245534634081354,0.3694168895364215,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.35084807892012393,0.2804404626151401,0.3534989214247034,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.32648710699377637,0.24490557181087272,0.3493180761828468,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.35426812053337675,0.2749766478297077,0.361652690359563,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.3504426134820944,0.26886424854810254,0.35812454958632084,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.33188067642241015,0.25462449154472727,0.34626812300964016,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.31536396412883383,0.24211880806758188,0.32825638102669286,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.35624382972807356,0.2718494330486901,0.3655137377321162,48950
attested,attn_zeroed,znhoughton_opt-babylm-125m-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.3328095554232364,0.2527106912923612,0.34351756832785985,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,znhoughton_opt-babylm-1_3b-20eps-seed964,BabyLM,BabyLM,True,0.4223620740767401,0.3701828467629255,0.4020483087625513,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.2506590684056464,0.2875071247336738,0.2658201715845006,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.27688012414091756,0.2814557269274006,0.2868296744486278,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.32365320776683854,0.28928024365291005,0.32935922325439493,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.29531686812903446,0.2740081053516424,0.3049131546182219,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.36647022545978897,0.3115560506762373,0.3598103736014286,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.3397619213955239,0.2654544655346596,0.34015047705450974,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.3221931719968117,0.2443735512524801,0.3401537958128536,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.34741689606889636,0.2676158591298437,0.351710055133985,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.345749086202445,0.265288229453066,0.35026130029525504,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.3301536921780012,0.25126561156332006,0.3407976324885865,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.3112818325323951,0.23759902274675596,0.32033533694811767,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.35168775433782357,0.26613303244081843,0.35784477733394443,48950
attested,attn_zeroed,znhoughton_opt-babylm-350m-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.32815486029722485,0.24780142649688364,0.3352599832967103,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.18944408715190642,0.22599234581615582,0.20699542151879868,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.213492407174258,0.22694166730269566,0.22497835016134915,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.2428005495742852,0.22906726459853868,0.24896744311375968,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.22601831334579425,0.21977682921899797,0.2369393851070729,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.2781998015410128,0.24816613276637672,0.26912709917582417,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.26649898284711276,0.21855424205138937,0.26635878867091206,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.24081917343489193,0.19237715618682646,0.2609485331410068,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.2634501910373198,0.21364981536872316,0.2676106723707057,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.2679472768943656,0.2210507901229992,0.2724542807442948,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.24978768416952207,0.2043519240184918,0.26158164614523666,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.23966725031733435,0.19848834439065557,0.2495782280498398,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.2775501932953667,0.22467644361826358,0.2843267219609397,48950
attested,attn_zeroed,znhoughton_opt-babylm-1_3b-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.26404275871753735,0.21572955407841138,0.27189712415800116,48950
attested,attn_zeroed,gpt2,gpt2-medium,GPT-2,GPT-2,True,0.7582678098694929,0.6465124493250592,0.7572286968533105,48950
attested,attn_zeroed,gpt2,gpt2-large,GPT-2,GPT-2,True,0.6952226989187384,0.6195064887276318,0.6951865937427133,48950
attested,attn_zeroed,gpt2,gpt2-xl,GPT-2,GPT-2,True,0.7140172930111399,0.5809550500062542,0.7126796135514246,48950
attested,attn_zeroed,gpt2,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.37233786000319175,0.5054616494198281,0.3787353598295661,48950
attested,attn_zeroed,gpt2,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.3792999395540318,0.4829959736205756,0.3794500589793732,48950
attested,attn_zeroed,gpt2,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.3662723689702544,0.4529986401379645,0.35963975876381,48950
attested,attn_zeroed,gpt2,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.37674880184141524,0.4519283439662521,0.3746829137470515,48950
attested,attn_zeroed,gpt2,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.34377949050746237,0.4118307048708888,0.341219410980515,48950
