condition,layer,mode,split,mean_r2,sd_r2,n_folds
attn_zeroed,2,mean_pooled,word_novel,0.343741,0.025659,10
attn_zeroed,2,words_only,pair_novel,0.366747,0.006091,10
attn_zeroed,2,words_only,word_novel,0.33619,0.023798,10
attn_zeroed,3,mean_pooled,pair_novel,0.405671,0.005769,10
attn_zeroed,3,mean_pooled,word_novel,0.357543,0.027046,10
attn_zeroed,3,words_only,pair_novel,0.374959,0.006306,10
attn_zeroed,3,words_only,word_novel,0.346522,0.025943,10
attn_zeroed,4,mean_pooled,pair_novel,0.416109,0.006476,10
attn_zeroed,4,mean_pooled,word_novel,0.368663,0.026022,10
attn_zeroed,4,words_only,pair_novel,0.403106,0.006635,10
attn_zeroed,4,words_only,word_novel,0.378587,0.026465,10
attn_zeroed,5,mean_pooled,pair_novel,0.433117,0.005636,10
attn_zeroed,5,mean_pooled,word_novel,0.391695,0.02826,10
attn_zeroed,5,words_only,pair_novel,0.423111,0.006579,10
attn_zeroed,5,words_only,word_novel,0.400811,0.029827,10
attn_zeroed,6,mean_pooled,pair_novel,0.449612,0.005865,10
attn_zeroed,6,mean_pooled,word_novel,0.41145,0.024328,10
attn_zeroed,6,words_only,pair_novel,0.438694,0.006176,10
attn_zeroed,6,words_only,word_novel,0.417315,0.029713,10
attn_zeroed,7,mean_pooled,pair_novel,0.465148,0.004851,10
attn_zeroed,7,mean_pooled,word_novel,0.430404,0.023718,10
attn_zeroed,7,words_only,pair_novel,0.448811,0.00465,10
attn_zeroed,7,words_only,word_novel,0.426163,0.029377,10
attn_zeroed,8,mean_pooled,pair_novel,0.479805,0.005707,10
attn_zeroed,8,mean_pooled,word_novel,0.443858,0.024079,10
attn_zeroed,8,words_only,pair_novel,0.457262,0.00491,10
attn_zeroed,8,words_only,word_novel,0.436488,0.026415,10
attn_zeroed,9,mean_pooled,pair_novel,0.496489,0.006001,10
attn_zeroed,9,mean_pooled,word_novel,0.461862,0.023155,10
attn_zeroed,9,words_only,pair_novel,0.472623,0.004257,10
attn_zeroed,9,words_only,word_novel,0.452289,0.026222,10
attn_zeroed,10,mean_pooled,pair_novel,0.504023,0.005972,10
attn_zeroed,10,mean_pooled,word_novel,0.468347,0.01937,10
attn_zeroed,10,words_only,pair_novel,0.477461,0.004754,10
attn_zeroed,10,words_only,word_novel,0.457491,0.025162,10
attn_zeroed,11,mean_pooled,pair_novel,0.501569,0.005641,10
attn_zeroed,11,mean_pooled,word_novel,0.465696,0.020241,10
attn_zeroed,11,words_only,pair_novel,0.47875,0.004934,10
attn_zeroed,11,words_only,word_novel,0.456729,0.024208,10
attn_zeroed,12,mean_pooled,pair_novel,0.501319,0.004898,10
attn_zeroed,12,mean_pooled,word_novel,0.466236,0.019976,10
attn_zeroed,12,words_only,pair_novel,0.476804,0.004814,10
attn_zeroed,12,words_only,word_novel,0.455117,0.025599,10
attn_zeroed,13,mean_pooled,pair_novel,0.497775,0.004564,10
attn_zeroed,13,mean_pooled,word_novel,0.463022,0.021188,10
attn_zeroed,13,words_only,pair_novel,0.473827,0.004928,10
attn_zeroed,13,words_only,word_novel,0.453006,0.026446,10
attn_zeroed,14,mean_pooled,pair_novel,0.494184,0.004368,10
attn_zeroed,14,mean_pooled,word_novel,0.45946,0.021947,10
attn_zeroed,14,words_only,pair_novel,0.46956,0.004451,10
attn_zeroed,14,words_only,word_novel,0.445955,0.0266,10
attn_zeroed,15,mean_pooled,pair_novel,0.48945,0.005063,10
attn_zeroed,15,mean_pooled,word_novel,0.455307,0.024736,10
attn_zeroed,15,words_only,pair_novel,0.467617,0.004954,10
attn_zeroed,15,words_only,word_novel,0.444038,0.026971,10
attn_zeroed,16,mean_pooled,pair_novel,0.490359,0.004833,10
attn_zeroed,16,mean_pooled,word_novel,0.45797,0.024124,10
attn_zeroed,16,words_only,pair_novel,0.465354,0.004009,10
attn_zeroed,16,words_only,word_novel,0.441754,0.024706,10
attn_zeroed,17,mean_pooled,pair_novel,0.483402,0.004934,10
attn_zeroed,17,mean_pooled,word_novel,0.451943,0.024298,10
attn_zeroed,17,words_only,pair_novel,0.46372,0.00446,10
attn_zeroed,17,words_only,word_novel,0.441637,0.025388,10
attn_zeroed,18,mean_pooled,pair_novel,0.475892,0.004825,10
attn_zeroed,18,mean_pooled,word_novel,0.442274,0.022539,10
attn_zeroed,18,words_only,pair_novel,0.45861,0.004271,10
attn_zeroed,18,words_only,word_novel,0.438082,0.022472,10
attn_zeroed,19,mean_pooled,pair_novel,0.468465,0.005749,10
attn_zeroed,19,mean_pooled,word_novel,0.433696,0.020733,10
attn_zeroed,19,words_only,pair_novel,0.452906,0.004637,10
attn_zeroed,19,words_only,word_novel,0.433463,0.023173,10
attn_zeroed,20,mean_pooled,pair_novel,0.458428,0.005951,10
attn_zeroed,20,mean_pooled,word_novel,0.424341,0.018965,10
attn_zeroed,20,words_only,pair_novel,0.444624,0.004824,10
attn_zeroed,20,words_only,word_novel,0.425029,0.022284,10
attn_zeroed,21,mean_pooled,pair_novel,0.452124,0.006097,10
attn_zeroed,21,mean_pooled,word_novel,0.420347,0.018057,10
attn_zeroed,21,words_only,pair_novel,0.437884,0.00476,10
attn_zeroed,21,words_only,word_novel,0.42005,0.021883,10
attn_zeroed,22,mean_pooled,pair_novel,0.443606,0.006016,10
attn_zeroed,22,mean_pooled,word_novel,0.414088,0.019036,10
attn_zeroed,22,words_only,pair_novel,0.430226,0.003956,10
attn_zeroed,22,words_only,word_novel,0.41297,0.021743,10
attn_zeroed,23,mean_pooled,pair_novel,0.43625,0.005746,10
attn_zeroed,23,mean_pooled,word_novel,0.40805,0.016246,10
attn_zeroed,23,words_only,pair_novel,0.424614,0.004492,10
attn_zeroed,23,words_only,word_novel,0.408157,0.021873,10
attn_zeroed,24,mean_pooled,pair_novel,0.433716,0.005755,10
attn_zeroed,24,mean_pooled,word_novel,0.406866,0.01722,10
attn_zeroed,24,words_only,pair_novel,0.418189,0.005661,10
attn_zeroed,24,words_only,word_novel,0.397662,0.02568,10
