condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,12,mean_pooled,word_novel,0.701365,0.033297,10,133.1,139.1
attn_zeroed,12,words_only,pair_novel,0.419207,0.019915,10,178.1,184.1
attn_zeroed,12,words_only,word_novel,0.129291,0.032723,10,166.5,172.5
attn_zeroed,13,mean_pooled,pair_novel,0.754072,0.024871,10,110.1,116.1
attn_zeroed,13,mean_pooled,word_novel,0.704235,0.031855,10,142.3,148.3
attn_zeroed,13,words_only,pair_novel,0.388522,0.030491,10,162.5,168.5
attn_zeroed,13,words_only,word_novel,0.118521,0.03082,10,151.4,157.4
attn_zeroed,14,mean_pooled,pair_novel,0.755149,0.017416,10,104.4,110.4
attn_zeroed,14,mean_pooled,word_novel,0.693607,0.039443,10,117.8,123.8
attn_zeroed,14,words_only,pair_novel,0.384081,0.036748,10,167.0,173.0
attn_zeroed,14,words_only,word_novel,0.118796,0.036515,10,143.1,149.1
attn_zeroed,15,mean_pooled,pair_novel,0.757333,0.025793,10,104.6,110.6
attn_zeroed,15,mean_pooled,word_novel,0.709158,0.028977,10,133.7,139.7
attn_zeroed,15,words_only,pair_novel,0.342122,0.055462,10,140.2,146.2
attn_zeroed,15,words_only,word_novel,0.120451,0.030667,10,163.2,169.2
attn_zeroed,16,mean_pooled,pair_novel,0.74768,0.012952,10,99.5,105.5
attn_zeroed,16,mean_pooled,word_novel,0.69637,0.03886,10,124.8,130.8
attn_zeroed,16,words_only,pair_novel,0.300334,0.065631,10,124.1,130.1
attn_zeroed,16,words_only,word_novel,0.111663,0.041486,10,155.8,161.8
attn_zeroed,17,mean_pooled,pair_novel,0.757273,0.023112,10,111.7,117.7
attn_zeroed,17,mean_pooled,word_novel,0.694455,0.023135,10,105.3,111.3
attn_zeroed,17,words_only,pair_novel,0.293242,0.068503,10,132.6,138.6
attn_zeroed,17,words_only,word_novel,0.112815,0.036813,10,155.2,161.2
attn_zeroed,18,mean_pooled,pair_novel,0.757626,0.01562,10,103.7,109.7
attn_zeroed,18,mean_pooled,word_novel,0.701674,0.023843,10,113.3,119.3
attn_zeroed,18,words_only,pair_novel,0.289446,0.054974,10,137.4,143.4
attn_zeroed,18,words_only,word_novel,0.102483,0.036374,10,155.3,161.3
attn_zeroed,19,mean_pooled,pair_novel,0.759604,0.028103,10,123.4,129.4
attn_zeroed,19,mean_pooled,word_novel,0.708658,0.022167,10,126.5,132.5
attn_zeroed,19,words_only,pair_novel,0.275086,0.053544,10,143.0,149.0
attn_zeroed,19,words_only,word_novel,0.09526,0.035681,10,134.0,140.0
attn_zeroed,20,mean_pooled,pair_novel,0.762507,0.013377,10,109.2,115.2
attn_zeroed,20,mean_pooled,word_novel,0.707769,0.026739,10,118.1,124.1
attn_zeroed,20,words_only,pair_novel,0.253603,0.051552,10,136.4,142.4
attn_zeroed,20,words_only,word_novel,0.090032,0.036606,10,141.3,147.3
attn_zeroed,21,mean_pooled,pair_novel,0.763058,0.021769,10,106.1,112.1
attn_zeroed,21,mean_pooled,word_novel,0.718059,0.019812,10,123.1,129.1
attn_zeroed,21,words_only,pair_novel,0.223717,0.036011,10,117.1,123.1
attn_zeroed,21,words_only,word_novel,0.086468,0.043742,10,117.5,123.5
attn_zeroed,22,mean_pooled,pair_novel,0.753072,0.021099,10,93.6,99.6
attn_zeroed,22,mean_pooled,word_novel,0.711996,0.035949,10,113.7,119.7
attn_zeroed,22,words_only,pair_novel,0.208022,0.023786,10,114.2,120.2
attn_zeroed,22,words_only,word_novel,0.089759,0.035443,10,150.5,156.5
attn_zeroed,23,mean_pooled,pair_novel,0.748654,0.015828,10,96.0,102.0
attn_zeroed,23,mean_pooled,word_novel,0.701341,0.025627,10,108.5,114.5
attn_zeroed,23,words_only,pair_novel,0.193639,0.020527,10,121.1,127.1
attn_zeroed,23,words_only,word_novel,0.085878,0.036187,10,139.5,145.5
attn_zeroed,24,mean_pooled,pair_novel,0.730471,0.046824,10,90.5,96.5
attn_zeroed,24,mean_pooled,word_novel,0.710596,0.025136,10,122.7,128.7
attn_zeroed,24,words_only,pair_novel,0.168458,0.025931,10,112.9,118.9
attn_zeroed,24,words_only,word_novel,0.080807,0.03774,10,141.1,147.1
