condition,layer,mode,n,estimate,se,t,p,ci_lo,ci_hi
default,13,words_only,48950,-0.0020718847512915368,0.012425823371055965,-0.16674023840687066,0.8675751317863892,-0.026426653270612804,0.022282883768029733
default,14,individual,48950,0.0024760128351782227,0.012288021448552474,0.20149808865038207,0.840309961123524,-0.021608662200285265,0.026560687870641708
default,14,mean_pooled,48950,0.0519814681470789,0.012740790254038828,4.079924958391085,4.5121543135111495e-5,0.027009360615506094,0.07695357567865171
default,14,words_only,48950,-0.009089181549066183,0.012404489622638851,-0.7327332139871313,0.4637246707834555,-0.03340213565586663,0.015223772557734265
default,15,individual,48950,-0.007036501146340472,0.012506135576536953,-0.5626439201204417,0.5736799553308488,-0.03154868258835963,0.017475680295678687
default,15,mean_pooled,48950,0.052248891416996346,0.012723187353331005,4.106588228720634,4.0219756830382655e-5,0.027311285789981928,0.07718649704401076
default,15,words_only,48950,-0.00817026605041845,0.012522199060984873,-0.6524625595415073,0.5141058822733304,-0.03271393212195955,0.01637340002112265
default,16,individual,48950,-0.004714768766892522,0.012317392920163688,-0.3827732700784759,0.7018895443143174,-0.02885701225241375,0.019427474718628705
default,16,mean_pooled,48950,0.05740284529472232,0.012785265635920575,4.4897655574278685,7.146414887262529e-6,0.03234356546090501,0.08246212512853962
default,16,words_only,48950,-0.004734455605995018,0.012419568559453188,-0.3812093458263794,0.7030495693648591,-0.029076964616697128,0.019608053404707095
default,17,individual,48950,-0.007629834865191292,0.012309551495235056,-0.6198304518361005,0.5353723031463216,-0.031756709060220004,0.016497039329837416
default,17,mean_pooled,48950,0.04910280454835614,0.012698616306615526,3.866783857606228,1.1042255368697704e-4,0.024213358478834456,0.07399225061787781
default,17,words_only,48950,-0.015949409865350875,0.012440098792360242,-1.2820967205779574,0.19981479145092843,-0.04033215838816964,0.008433338657467888
default,18,individual,48950,-0.018893146795871556,0.012326898385231025,-1.5326764450745871,0.12536205849846918,-0.043054021111275875,0.005267727519532764
default,18,mean_pooled,48950,0.03933146652380408,0.012685931966095266,3.100400240906409,0.001933689811383644,0.014466881919632912,0.06419605112797525
default,18,words_only,48950,-0.009684216858635467,0.012350347972617068,-0.7841250206153794,0.43297054977700467,-0.0338910526572837,0.014522618940012763
default,19,individual,48950,-0.002059533801834958,0.012359776264866097,-0.1666319646650392,0.8676603294318689,-0.026284849170681537,0.02216578156701162
