condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,0,mean_pooled,word_novel,0.000228,0.000284,10,51.7,57.7
attn_zeroed,0,words_only,pair_novel,1.3e-05,2e-05,10,31.8,37.8
attn_zeroed,0,words_only,word_novel,0.000418,0.000556,10,34.4,40.4
attn_zeroed,1,mean_pooled,pair_novel,2.1e-05,1.8e-05,10,30.6,36.6
attn_zeroed,1,mean_pooled,word_novel,0.000477,0.000713,10,51.1,57.1
attn_zeroed,1,words_only,pair_novel,3.7e-05,5.1e-05,10,32.0,38.0
attn_zeroed,1,words_only,word_novel,0.000338,0.000449,10,33.1,39.1
attn_zeroed,2,mean_pooled,pair_novel,2.6e-05,2.3e-05,10,35.4,41.4
attn_zeroed,2,mean_pooled,word_novel,0.000132,0.000201,10,52.5,58.5
attn_zeroed,2,words_only,pair_novel,2.4e-05,3.2e-05,10,28.0,34.0
attn_zeroed,2,words_only,word_novel,0.000203,0.000229,10,28.8,34.8
attn_zeroed,3,mean_pooled,pair_novel,4.2e-05,6e-05,10,35.6,41.6
attn_zeroed,3,mean_pooled,word_novel,0.000181,0.000373,10,48.2,54.2
attn_zeroed,3,words_only,pair_novel,2.2e-05,3.7e-05,10,24.8,30.8
attn_zeroed,3,words_only,word_novel,0.000167,0.000178,10,32.6,38.6
attn_zeroed,4,mean_pooled,pair_novel,2.8e-05,3.2e-05,10,34.4,40.4
attn_zeroed,4,mean_pooled,word_novel,0.000161,0.000182,10,58.4,64.4
attn_zeroed,4,words_only,pair_novel,4.6e-05,4.5e-05,10,28.8,34.8
attn_zeroed,4,words_only,word_novel,0.000349,0.000401,10,29.5,35.5
attn_zeroed,5,mean_pooled,pair_novel,4.5e-05,3.4e-05,10,43.8,49.8
attn_zeroed,5,mean_pooled,word_novel,0.000371,0.000583,10,61.2,67.2
attn_zeroed,5,words_only,pair_novel,6.1e-05,0.000101,10,23.1,29.1
attn_zeroed,5,words_only,word_novel,0.000404,0.000358,10,31.9,37.9
attn_zeroed,6,mean_pooled,pair_novel,3.6e-05,3.7e-05,10,38.3,44.3
attn_zeroed,6,mean_pooled,word_novel,0.000272,0.000447,10,61.9,67.9
attn_zeroed,6,words_only,pair_novel,2.7e-05,3.1e-05,10,25.5,31.5
attn_zeroed,6,words_only,word_novel,8e-05,9.2e-05,10,31.8,37.8
attn_zeroed,7,mean_pooled,pair_novel,2.9e-05,3.3e-05,10,33.9,39.9
attn_zeroed,7,mean_pooled,word_novel,0.000233,0.000217,10,60.8,66.8
attn_zeroed,7,words_only,pair_novel,3.5e-05,4.5e-05,10,25.6,31.6
attn_zeroed,7,words_only,word_novel,0.000199,0.00024,10,32.5,38.5
attn_zeroed,8,mean_pooled,pair_novel,1.8e-05,3.2e-05,10,43.2,49.2
attn_zeroed,8,mean_pooled,word_novel,0.000144,0.000197,10,63.9,69.9
attn_zeroed,8,words_only,pair_novel,1.2e-05,2.3e-05,10,29.4,35.4
attn_zeroed,8,words_only,word_novel,0.000177,0.000278,10,33.5,39.5
attn_zeroed,9,mean_pooled,pair_novel,1.7e-05,2.6e-05,10,43.0,49.0
attn_zeroed,9,mean_pooled,word_novel,0.000225,0.000363,10,60.5,66.5
attn_zeroed,9,words_only,pair_novel,1.3e-05,1.2e-05,10,28.8,34.8
attn_zeroed,9,words_only,word_novel,0.000164,0.000281,10,33.8,39.8
attn_zeroed,10,mean_pooled,pair_novel,5.3e-05,7.5e-05,10,32.1,38.1
attn_zeroed,10,mean_pooled,word_novel,0.000192,0.000345,10,58.4,64.4
attn_zeroed,10,words_only,pair_novel,1.2e-05,1.3e-05,10,28.2,34.2
attn_zeroed,10,words_only,word_novel,0.000479,0.000586,10,34.7,40.7
attn_zeroed,11,mean_pooled,pair_novel,3.2e-05,5.6e-05,10,37.2,43.2
attn_zeroed,11,mean_pooled,word_novel,0.000258,0.000318,10,55.0,61.0
attn_zeroed,11,words_only,pair_novel,1.6e-05,2.3e-05,10,25.9,31.9
attn_zeroed,11,words_only,word_novel,0.000218,0.000286,10,32.7,38.7
attn_zeroed,12,mean_pooled,pair_novel,1.9e-05,2.9e-05,10,35.9,41.9
attn_zeroed,12,mean_pooled,word_novel,0.000327,0.000551,10,55.0,61.0
attn_zeroed,12,words_only,pair_novel,3e-05,5.5e-05,10,29.9,35.9
attn_zeroed,12,words_only,word_novel,0.000429,0.000325,10,31.2,37.2
attn_zeroed,13,mean_pooled,pair_novel,2.6e-05,2.6e-05,10,37.8,43.8
attn_zeroed,13,mean_pooled,word_novel,0.000403,0.000529,10,51.7,57.7
attn_zeroed,13,words_only,pair_novel,3.1e-05,2.5e-05,10,30.2,36.2
attn_zeroed,13,words_only,word_novel,0.000232,0.000379,10,33.9,39.9
attn_zeroed,14,mean_pooled,pair_novel,2e-05,1.4e-05,10,37.4,43.4
attn_zeroed,14,mean_pooled,word_novel,0.000147,0.000215,10,53.8,59.8
attn_zeroed,14,words_only,pair_novel,2.4e-05,2.6e-05,10,30.0,36.0
attn_zeroed,14,words_only,word_novel,0.000195,0.000217,10,30.6,36.6
attn_zeroed,15,mean_pooled,pair_novel,3.6e-05,5.1e-05,10,36.0,42.0
attn_zeroed,15,mean_pooled,word_novel,0.000246,0.000446,10,46.5,52.5
attn_zeroed,15,words_only,pair_novel,4.4e-05,5.1e-05,10,29.8,35.8
attn_zeroed,15,words_only,word_novel,0.000388,0.000548,10,28.6,34.6
attn_zeroed,16,mean_pooled,pair_novel,7.7e-05,5.9e-05,10,33.6,39.6
attn_zeroed,16,mean_pooled,word_novel,0.000342,0.00027,10,60.5,66.5
attn_zeroed,16,words_only,pair_novel,1.6e-05,1.9e-05,10,24.1,30.1
attn_zeroed,16,words_only,word_novel,0.000388,0.000382,10,33.0,39.0
attn_zeroed,17,mean_pooled,pair_novel,2.3e-05,2.3e-05,10,38.0,44.0
attn_zeroed,17,mean_pooled,word_novel,0.000344,0.000463,10,59.0,65.0
attn_zeroed,17,words_only,pair_novel,3.2e-05,4.4e-05,10,31.9,37.9
attn_zeroed,17,words_only,word_novel,0.000271,0.000463,10,35.4,41.4
attn_zeroed,18,mean_pooled,pair_novel,2.8e-05,4.7e-05,10,36.4,42.4
attn_zeroed,18,mean_pooled,word_novel,0.000219,0.000239,10,64.2,70.2
attn_zeroed,18,words_only,pair_novel,3.1e-05,3.5e-05,10,30.1,36.1
attn_zeroed,18,words_only,word_novel,0.000316,0.000288,10,35.6,41.6
attn_zeroed,19,mean_pooled,pair_novel,1.5e-05,2.1e-05,10,41.4,47.4
attn_zeroed,19,mean_pooled,word_novel,0.000209,0.000225,10,59.5,65.5
attn_zeroed,19,words_only,pair_novel,1.4e-05,1.5e-05,10,34.8,40.8
