condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
attn_zeroed,11,words_only,pair_novel,2.7e-05,4.8e-05,10,28.5,34.5
attn_zeroed,11,words_only,word_novel,0.000333,0.000444,10,35.0,41.0
attn_zeroed,12,mean_pooled,pair_novel,4.1e-05,3.9e-05,10,30.2,36.2
attn_zeroed,12,mean_pooled,word_novel,0.000193,0.000241,10,41.3,47.3
attn_zeroed,12,words_only,pair_novel,3.1e-05,3.6e-05,10,24.1,30.1
attn_zeroed,12,words_only,word_novel,0.000213,0.000229,10,36.2,42.2
attn_zeroed,13,mean_pooled,pair_novel,5.6e-05,9.7e-05,10,28.4,34.4
attn_zeroed,13,mean_pooled,word_novel,0.000156,0.000215,10,48.4,54.4
attn_zeroed,13,words_only,pair_novel,7.2e-05,8.9e-05,10,27.6,33.6
attn_zeroed,13,words_only,word_novel,0.000266,0.000474,10,30.3,36.3
attn_zeroed,14,mean_pooled,pair_novel,2.4e-05,2.2e-05,10,24.4,30.4
attn_zeroed,14,mean_pooled,word_novel,0.000672,0.000874,10,49.7,55.7
attn_zeroed,14,words_only,pair_novel,2.5e-05,3.4e-05,10,32.5,38.5
attn_zeroed,14,words_only,word_novel,0.000168,0.000332,10,38.0,44.0
attn_zeroed,15,mean_pooled,pair_novel,1.6e-05,1.7e-05,10,29.9,35.9
attn_zeroed,15,mean_pooled,word_novel,0.00047,0.000621,10,53.6,59.6
attn_zeroed,15,words_only,pair_novel,4.1e-05,4.2e-05,10,23.3,29.3
attn_zeroed,15,words_only,word_novel,0.000312,0.00057,10,32.0,38.0
attn_zeroed,16,mean_pooled,pair_novel,1.8e-05,2e-05,10,29.8,35.8
attn_zeroed,16,mean_pooled,word_novel,0.000146,0.000257,10,53.7,59.7
attn_zeroed,16,words_only,pair_novel,3.3e-05,5e-05,10,22.5,28.5
attn_zeroed,16,words_only,word_novel,0.000335,0.00038,10,29.6,35.6
attn_zeroed,17,mean_pooled,pair_novel,5e-05,5.9e-05,10,28.9,34.9
attn_zeroed,17,mean_pooled,word_novel,0.000221,0.000168,10,41.3,47.3
attn_zeroed,17,words_only,pair_novel,1.3e-05,1.3e-05,10,31.8,37.8
attn_zeroed,17,words_only,word_novel,0.000357,0.000435,10,30.5,36.5
attn_zeroed,18,mean_pooled,pair_novel,2.5e-05,3.7e-05,10,31.5,37.5
attn_zeroed,18,mean_pooled,word_novel,0.000236,0.000256,10,49.1,55.1
attn_zeroed,18,words_only,pair_novel,1.4e-05,1.3e-05,10,26.0,32.0
attn_zeroed,18,words_only,word_novel,0.000115,0.000112,10,31.4,37.4
attn_zeroed,19,mean_pooled,pair_novel,2.5e-05,3.8e-05,10,30.1,36.1
attn_zeroed,19,mean_pooled,word_novel,0.000208,0.000291,10,38.8,44.8
attn_zeroed,19,words_only,pair_novel,3.1e-05,4e-05,10,28.4,34.4
attn_zeroed,19,words_only,word_novel,0.000422,0.000597,10,32.7,38.7
attn_zeroed,20,mean_pooled,pair_novel,2.1e-05,1.8e-05,10,31.2,37.2
attn_zeroed,20,mean_pooled,word_novel,0.000459,0.000641,10,47.7,53.7
attn_zeroed,20,words_only,pair_novel,2.7e-05,2.8e-05,10,24.1,30.1
attn_zeroed,20,words_only,word_novel,0.000301,0.000271,10,34.7,40.7
attn_zeroed,21,mean_pooled,pair_novel,1.1e-05,1.2e-05,10,35.1,41.1
attn_zeroed,21,mean_pooled,word_novel,0.000531,0.000627,10,44.5,50.5
attn_zeroed,21,words_only,pair_novel,1.8e-05,2.3e-05,10,27.3,33.3
attn_zeroed,21,words_only,word_novel,0.000288,0.000279,10,33.1,39.1
attn_zeroed,22,mean_pooled,pair_novel,2.7e-05,3.2e-05,10,33.8,39.8
